X,Y
0.0000,-8087.993
0.6061,-2714.625
1.2121,-1514.106
1.8182,-1613.642
2.4242,-1528.733
3.0303,-1287.668
3.6364,-1287.241
4.2424,-1243.188
4.8485,-1090.292
5.4545,-1101.964
6.0606,-1117.895
6.6667,-1106.583
7.2727,-1266.525
7.8788,-1217.978
8.4849,-1509.280
9.0909,-1757.824
9.6970,-1756.972
10.3030,-1812.753
10.9091,-1660.711
11.5152,-1273.051
12.1212,-1129.557
12.7273,-789.224
13.3333,-384.888
13.9394,-464.126
14.5455,-381.571
15.1515,-357.797
15.7576,-100.528
16.3636,-119.040
16.9697,-583.646
17.5758,-475.299
18.1818,-462.694
18.7879,-834.119
19.3940,-355.935
20.0000,-475.799
20.6061,-355.104
21.2121,213.589
21.8182,-235.381
22.4243,-5.981
23.0303,-866.986
23.6364,3109.237
24.2424,25633.799
24.8485,55959.840
25.4546,69130.562
26.0606,65913.516
26.6667,46776.836
27.2727,16335.069
27.8788,-274.392
28.4849,974.168
29.0909,136.117
29.6970,-478.692
30.3030,1351.296
30.9091,-927.612
31.5152,6736.963
32.1212,36961.590
32.7273,72980.469
33.3334,92021.320
33.9394,94475.875
34.5455,91195.414
35.1515,72145.695
35.7576,33756.719
36.3637,5041.972
36.9697,-424.416
37.5758,-332.151
38.1818,-1295.149
38.7879,150.328
39.3940,552.058
40.0000,101.633
40.6061,211.585
41.2121,-168.422
41.8182,157.399
42.4243,-156.394
43.0303,-721.504
43.6364,-221.159
44.2425,-247.401
44.8485,-281.920
45.4546,-219.403
46.0606,-429.044
46.6667,-357.488
47.2728,-629.255
47.8788,-735.171
48.4849,-434.904
49.0909,-225.687
49.6970,-312.879
50.3031,-398.378
50.9091,-559.768
51.5152,-761.945
52.1212,-727.488
52.7273,-752.851
53.3334,-946.846
53.9394,-777.527
54.5455,-790.494
55.1516,-649.019
55.7576,-318.566
56.3637,-191.699
56.9697,101.919
57.5758,280.251
58.1819,281.528
58.7879,375.254
59.3940,-2626.802
60.0000,-6900.798
