X,Y
0.0000,-20405.717
0.6061,-6840.214
1.2121,-3696.673
1.8182,-3954.377
2.4242,-3760.621
3.0303,-3198.601
3.6364,-3197.847
4.2424,-3096.669
4.8485,-2735.102
5.4545,-2710.900
6.0606,-2718.104
6.6667,-2693.753
7.2727,-3093.155
7.8788,-2985.145
8.4849,-3722.026
9.0909,-4371.435
9.6970,-4396.587
10.3030,-4429.206
10.9091,-4047.307
11.5152,-3080.131
12.1212,-2683.234
12.7273,-1920.852
13.3333,-949.322
13.9394,-1148.855
14.5455,-1023.891
15.1515,-925.049
15.7576,-206.757
16.3636,-314.505
16.9697,-1305.097
17.5758,-1014.124
18.1818,-964.717
18.7879,-1750.518
19.3940,-771.131
20.0000,-1103.892
20.6061,-549.151
21.2121,631.327
21.8182,-814.017
22.4243,-236.558
23.0303,-2304.453
23.6364,7226.193
24.2424,62743.145
24.8485,138963.156
25.4546,173339.453
26.0606,163988.266
26.6667,114335.656
27.2727,40038.898
27.8788,-96.340
28.4849,1947.017
29.0909,-119.516
29.6970,-1169.304
30.3030,2836.768
30.9091,-2833.368
31.5152,16653.047
32.1212,92058.211
32.7273,181650.781
33.3334,228322.266
33.9394,234412.969
34.5455,227013.625
35.1515,178618.328
35.7576,82678.492
36.3637,13221.178
36.9697,-3.711
37.5758,-1511.773
38.1818,-3851.219
38.7879,690.025
39.3940,1435.230
40.0000,46.309
40.6061,548.754
41.2121,-386.571
41.8182,315.023
42.4243,-333.463
43.0303,-1727.074
43.6364,-599.849
44.2425,-631.315
44.8485,-580.549
45.4546,-480.352
46.0606,-1132.479
46.6667,-955.988
47.2728,-1582.468
47.8788,-1850.441
48.4849,-1070.797
49.0909,-562.572
49.6970,-857.412
50.3031,-1035.415
50.9091,-1464.469
51.5152,-2000.695
52.1212,-1861.075
52.7273,-1868.404
53.3334,-2310.562
53.9394,-1927.452
54.5455,-2048.169
55.1516,-1774.658
55.7576,-924.950
56.3637,-595.741
56.9697,198.842
57.5758,754.183
58.1819,747.945
58.7879,984.780
59.3940,-6506.366
60.0000,-17429.193
